"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 05- 31","11,637,000","11,579,000","12,160,000","11,303,000","12.06K","0.50%"
"2020- 05- 24","11,579,000","11,134,000","11,605,000","10,523,000","7.91K","4.00%"
"2020- 05- 17","11,134,000","11,317,000","11,875,000","10,796,000","11.54K","-1.62%"
"2020- 05- 10","11,317,000","11,544,000","11,944,000","10,137,000","20.16K","-1.97%"
"2020- 05- 03","11,544,000","10,881,000","12,162,000","10,450,000","16.26K","6.15%"
"2020- 04- 26","10,875,000","9,163,000","11,428,000","9,150,000","15.65K","18.67%"
"2020- 04- 19","9,164,000","8,714,000","9,254,000","8,310,000","9.18K","5.09%"
"2020- 04- 12","8,720,000","8,460,000","8,754,000","7,926,000","8.31K","3.01%"
"2020- 04- 05","8,465,000","8,250,000","8,965,000","8,106,000","12.15K","2.62%"
"2020- 03- 29","8,249,000","7,652,000","8,499,000","7,201,000","19.74K","7.76%"
"2020- 03- 22","7,655,000","7,743,000","8,510,000","7,234,000","18.20K","-1.11%"
"2020- 03- 15","7,741,000","6,822,000","8,630,000","6,000,000","42.24K","13.47%"
"2020- 03- 08","6,822,000","10,691,000","10,691,000","5,499,000","38.95K","-36.18%"
"2020- 03- 01","10,690,000","10,378,000","10,971,000","10,279,000","4.67K","2.98%"
"2020- 02- 23","10,381,000","11,486,000","11,838,000","10,297,000","7.66K","-9.60%"
"2020- 02- 16","11,483,000","11,500,000","11,955,000","11,139,000","9.60K","-0.12%"
"2020- 02- 09","11,497,000","11,579,000","11,998,000","11,280,000","7.29K","-0.72%"
"2020- 02- 02","11,580,000","10,816,000","11,618,000","10,501,000","5.89K","6.95%"
"2020- 01- 26","10,827,000","9,747,000","10,899,000","9,711,000","8.04K","11.22%"
"2020- 01- 19","9,735,000","10,092,000","10,471,000","9,620,000","5.63K","-3.54%"
"2020- 01- 12","10,092,000","9,062,000","10,214,000","9,020,000","10.03K","11.34%"
"2020- 01- 05","9,064,000","8,477,000","9,742,000","8,430,000","15.25K","6.90%"
